city,ARIMA_RMSE,XGB_RMSE,ARIMA_MAE,XGB_MAE,ARIMA_MAPE,XGB_MAPE,Tốt hơn
Hanoi,2.5667557916789914,2.303771334957862,1.6470588235294117,2.181525094168527,1.1054086063955784,1.4728396070325238,XGBoost
Haiphong,7.7781745930520225,1.6343034110093182,5.5,1.4651840209960938,7.333333333333333,1.9535786946614582,XGBoost
Danang,29.698484809834994,24.119586944580078,21.0,24.119586944580078,29.166666666666668,33.49942631191677,XGBoost
HCMC,0.0,0.0,0.0,0.0,0.0,0.0,ARIMA
Cantho,0.0,0.0,0.0,0.0,0.0,0.0,ARIMA
